id,source,date,url,title
1.43E+12,www.reuters.com,,www.reuters.com/,"Business & Financial News, Breaking US & International News | Reuters.com"
1.43E+12,www.wsj.com,,www.wsj.com/,"The Wall Street Journal &amp; Breaking News, Business, Financial and Economic News, World News and Video"
1.43E+12,www.wsj.com,,www.wsj.com/public/page/news-energy-oil-gas.html,"Energy News: Oil, Gas, Nuclear Power News"
1.43E+12,www.reuters.com,,www.reuters.com/finance/markets/dividends,Company Dividends | Reuters.com
1.43E+12,www.wsj.com,,www.wsj.com/policy/legal-policies, Legal Policies
1.43E+12,www.wsj.com,,www.wsj.com/news/topic/3307,Mobile Applications
1.43E+12,www.reuters.com,,www.reuters.com/tools/podcasts,"Business & Financial News, Breaking US & International News | Reuters.com"
1.43E+12,www.reuters.com,,www.reuters.com/subjects/us-lipper-awards,U.S. Lipper Fund Awards
1.43E+12,www.reuters.com,,www.reuters.com/video,Top News & Business Videos
1.43E+12,www.reuters.com,,www.reuters.com/news/health,Health & Fitness News | Reuters.com
1.43E+12,www.wsj.com,,www.wsj.com/video/browse/business,Business Videos
1.43E+12,www.reuters.com,,www.reuters.com/places/china,China | Reuters.com
1.43E+12,www.wsj.com,,www.wsj.com/public/page/email-setup.html,Email Center
1.43E+12,www.wsj.com,,www.wsj.com/public/page/news-media-marketing.html,Media News
1.43E+12,www.wsj.com, 04 Jun 2015 17:08:38 GMT,www.wsj.com/public/page/news-canada.html,Canada  News
1.43E+12,www.reuters.com,,www.reuters.com/bizfinance/technology/Top100Innovators,Top 100 Global Innovators
1.43E+12,www.reuters.com,,www.reuters.com/article/2015/06/04/us-britain-royalmail-idUSKBN0OK1DT20150604,
1.43E+12,www.reuters.com,,www.reuters.com/article/2015/06/04/us-usa-police-baltimore-idUSKBN0OK1QY20150604,
1.43E+12,www.reuters.com,,www.reuters.com/finance/markets/indices,Market Indices | Reuters.com
1.43E+12,www.reuters.com,,www.reuters.com/news/entertainment,Entertainment Industry & Celebrity News  | Reuters.com
1.43E+12,www.reuters.com,,www.reuters.com/article/2015/06/04/us-markets-global-idUSKBN0OK01P20150604,
1.43E+12,www.wsj.com,,www.wsj.com/video/browse/news/us-news,U.S. News Videos
1.43E+12,www.wsj.com,,www.wsj.com/video/browse/business/economy,Economy Videos
1.43E+12,www.reuters.com,,www.reuters.com/article/2015/06/04/us-china-ship-idUSKBN0OH3LU20150604,
1.43E+12,www.wsj.com,,www.wsj.com/news/types/commentary-u-s,Commentary News | Wall Street Journal
1.43E+12,www.wsj.com, 04 Jun 2015 17:08:49 GMT,www.wsj.com/public/page/real-estate-luxury.html,Luxury Homes &amp; Properties
1.43E+12,www.reuters.com,,www.reuters.com/video/2015/06/04/dish-t-mobile-us-in-merger-talks?videoId=364474749&newsChannel=businessNews,"Dish, T-Mobile US in merger talks | Video | Reuters.com"
1.43E+12,www.wsj.com,,www.wsj.com/public/page/letters.html,Letters to the Editor
1.43E+12,www.reuters.com,,www.reuters.com/video/2015/06/04/grieving-family-members-clash-with-polic?videoId=364468694&newsChannel=worldNews,Grieving family members clash with police over Yangtze River boat incident | Video | Reuters.com
1.43E+12,www.reuters.com,,www.reuters.com/places/africa,Reuters.com | Africa
1.43E+12,www.wsj.com,,www.wsj.com/video/browse/life-culture,Life &amp; Culture Videos
1.43E+12,www.reuters.com,,www.reuters.com/news/us,U.S. News  | Reuters.com
1.43E+12,www.reuters.com,,www.reuters.com/places/japan,World News | Reuters.com
1.43E+12,www.reuters.com,,www.reuters.com/video/2015/06/03/largest-telescope-gets-approval-for-cons?videoId=364464833&videoChannel=118169,Largest telescope gets approval for construction | Video | Reuters.com
1.43E+12,www.wsj.com,,www.wsj.com/public/page/news-european-union.html,"Europe and EU News, Headlines, Top Stories, Current Events"
1.43E+12,www.wsj.com,,www.wsj.com/policy/data-policy, Data Policy
1.43E+12,www.reuters.com,,www.reuters.com/finance/bonds,Bonds News | Reuters.com
1.43E+12,www.wsj.com,,www.wsj.com/guidedtour/,Your Guided Tour to the New WSJ.com
1.43E+12,www.reuters.com,,www.reuters.com/places/india,India
1.43E+12,www.wsj.com,,www.wsj.com/public/page/news-food-tobacco.html,Food and Beverage News
1.43E+12,www.reuters.com,,www.reuters.com/finance/futures,Futures
1.43E+12,www.reuters.com,,www.reuters.com/finance/global-market-data,Global Market Data | Reuters.com
1.43E+12,www.wsj.com,,www.wsj.com/public/page/news-asia-business.html,"Asia Business, Finance &amp; Political News &#45; The Wall Street Journal"
1.43E+12,www.reuters.com,,www.reuters.com/video/breakingviews,Breakingviews Video
1.43E+12,www.reuters.com,,www.reuters.com/places/brazil,Brazil | Reuters.com
1.43E+12,www.reuters.com,,www.reuters.com/video/money,Money News Video
1.43E+12,www.reuters.com,,www.reuters.com/assets/siteindex,"Business & Financial News, Breaking US & International News | Reuters.com"
1.43E+12,www.wsj.com,,www.wsj.com/public/page/news-industrial-services.html,Manufacturing News: Industry and Construction News
1.43E+12,www.reuters.com,,www.reuters.com/article/2015/06/04/us-vietnam-southchinasea-idUSKBN0OK22220150604,
1.43E+12,www.reuters.com,,www.reuters.com/news/picture/ship-capsizes-in-china?articleId=USRTR4YGXW,Ship capsizes in China | Reuters.com
1.43E+12,www.reuters.com,,www.reuters.com/video/2015/06/04/greek-deal-within-sight-maybe?videoId=364474576&newsChannel=ousivMolt,Greek deal  within sight  maybe | Video | Reuters.com
1.43E+12,www.reuters.com,,www.reuters.com/politics,Politics & Political News | Reuters.com
1.43E+12,www.wsj.com,,www.wsj.com/news/technology,Technology News & Analysis
1.43E+12,www.wsj.com,,www.wsj.com/news/whats-news,What's News
1.43E+12,www.wsj.com,,www.wsj.com/news/realestate,Real Estate News
1.43E+12,www.wsj.com,,www.wsj.com/news/economy,Economy News
1.43E+12,www.reuters.com,,www.reuters.com/article/2015/06/04/us-markets-oil-idUSKBN0OK04Y20150604,
1.43E+12,www.wsj.com,,www.wsj.com/public/page/magazine-index.html,WSJ Magazine
1.43E+12,www.reuters.com,,www.reuters.com/finance/currencies,"Currency Converter, Currencies News | Reuters.com"
1.43E+12,www.wsj.com,,www.wsj.com/public/page/rss_news_and_feeds.html,RSS Feed News &amp; Commentary
1.43E+12,www.reuters.com,,www.reuters.com/article/2015/06/04/us-tesco-southkorea-sale-idUSKBN0OK0TN20150604,
