"Id","Source","Date","Url","Title","IsTitleHasStatement","Author","Quote","Description","Rule"
"1.43E+12","www.reuters.com","","www.reuters.com/","Business & Financial News, Breaking US & International News | Reuters.com","no"
"1.43E+12","www.wsj.com","","www.wsj.com/","The Wall Street Journal &amp; Breaking News, Business, Financial and Economic News, World News and Video","no"
"1.43E+12","www.wsj.com","","www.wsj.com/public/page/news-energy-oil-gas.html","Energy News: Oil, Gas, Nuclear Power News","yes","Energy News"," Oil, Gas, Nuclear Power News","","Rule 1 : The Colon "":"" Rule"
"1.43E+12","www.reuters.com","","www.reuters.com/finance/markets/dividends","Company Dividends | Reuters.com","no"
"1.43E+12","www.wsj.com","","www.wsj.com/policy/legal-policies"," Legal Policies","no"
"1.43E+12","www.wsj.com","","www.wsj.com/news/topic/3307","Mobile Applications","no"
"1.43E+12","www.reuters.com","","www.reuters.com/tools/podcasts","Business & Financial News, Breaking US & International News | Reuters.com","no"
"1.43E+12","www.reuters.com","","www.reuters.com/subjects/us-lipper-awards","U.S. Lipper Fund Awards","no"
"1.43E+12","www.reuters.com","","www.reuters.com/video","Top News & Business Videos","no"
"1.43E+12","www.reuters.com","","www.reuters.com/news/health","Health & Fitness News | Reuters.com","no"
"1.43E+12","www.wsj.com","","www.wsj.com/video/browse/business","Business Videos","no"
"1.43E+12","www.reuters.com","","www.reuters.com/places/china","China | Reuters.com","no"
"1.43E+12","www.wsj.com","","www.wsj.com/public/page/email-setup.html","Email Center","no"
"1.43E+12","www.wsj.com","","www.wsj.com/public/page/news-media-marketing.html","Media News","no"
"1.43E+12","www.wsj.com"," 04 Jun 2015 17:08:38 GMT","www.wsj.com/public/page/news-canada.html","Canada  News","no"
"1.43E+12","www.reuters.com","","www.reuters.com/bizfinance/technology/Top100Innovators","Top 100 Global Innovators","no"
"1.43E+12","www.reuters.com","","www.reuters.com/article/2015/06/04/us-britain-royalmail-idUSKBN0OK1DT20150604","","no"
"1.43E+12","www.reuters.com","","www.reuters.com/article/2015/06/04/us-usa-police-baltimore-idUSKBN0OK1QY20150604","","no"
"1.43E+12","www.reuters.com","","www.reuters.com/finance/markets/indices","Market Indices | Reuters.com","no"
"1.43E+12","www.reuters.com","","www.reuters.com/news/entertainment","Entertainment Industry & Celebrity News  | Reuters.com","no"
"1.43E+12","www.reuters.com","","www.reuters.com/article/2015/06/04/us-markets-global-idUSKBN0OK01P20150604","","no"
"1.43E+12","www.wsj.com","","www.wsj.com/video/browse/news/us-news","U.S. News Videos","no"
"1.43E+12","www.wsj.com","","www.wsj.com/video/browse/business/economy","Economy Videos","no"
"1.43E+12","www.reuters.com","","www.reuters.com/article/2015/06/04/us-china-ship-idUSKBN0OH3LU20150604","","no"
"1.43E+12","www.wsj.com","","www.wsj.com/news/types/commentary-u-s","Commentary News | Wall Street Journal","no"
"1.43E+12","www.wsj.com"," 04 Jun 2015 17:08:49 GMT","www.wsj.com/public/page/real-estate-luxury.html","Luxury Homes &amp; Properties","no"
"1.43E+12","www.reuters.com","","www.reuters.com/video/2015/06/04/dish-t-mobile-us-in-merger-talks?videoId=364474749&newsChannel=businessNews","Dish, T-Mobile US in merger talks | Video | Reuters.com","no"
"1.43E+12","www.wsj.com","","www.wsj.com/public/page/letters.html","Letters to the Editor","no"
"1.43E+12","www.reuters.com","","www.reuters.com/video/2015/06/04/grieving-family-members-clash-with-polic?videoId=364468694&newsChannel=worldNews","Grieving family members clash with police over Yangtze River boat incident | Video | Reuters.com","no"
"1.43E+12","www.reuters.com","","www.reuters.com/places/africa","Reuters.com | Africa","no"
"1.43E+12","www.wsj.com","","www.wsj.com/video/browse/life-culture","Life &amp; Culture Videos","no"
